John;;;
0;null;0;null
1;reuniao-a;1;Anne,Jeremy,John
2;reuniao-a;1;Anne,Jeremy,John
3;reuniao-a;1;Anne,Jeremy,John
4;reuniao-a;1;Anne,Jeremy,John
5;reuniao-a;1;Anne,Jeremy,John
6;null;0;null
7;null;0;null
8;null;0;null
9;null;0;null
10;null;0;null
11;null;0;null
0;null;0;null
1;null;0;null
2;null;0;null
3;null;0;null
4;null;0;null
5;null;0;null
6;null;0;null
7;null;0;null
8;null;0;null
9;null;0;null
10;null;0;null
11;null;0;null
0;null;0;null
1;null;0;null
2;null;0;null
3;null;0;null
4;null;0;null
5;null;0;null
6;null;0;null
7;null;0;null
8;null;0;null
9;null;0;null
10;null;0;null
11;null;0;null
0;null;0;null
1;null;0;null
2;null;0;null
3;null;0;null
4;null;0;null
5;null;0;null
6;null;0;null
7;null;0;null
8;null;0;null
9;null;0;null
10;null;0;null
11;null;0;null
0;null;0;null
1;null;0;null
2;null;0;null
3;null;0;null
4;null;0;null
5;null;0;null
6;null;0;null
7;null;0;null
8;null;0;null
9;null;0;null
10;null;0;null
11;null;0;null
